GAFident;naam;type;GAF;P_perc;P_tot;frac_perc;uitlaat;maalstaat;uitstroom;opp m2;Awat;perc_water;mm/d;diepte;bodem;fetch;Pkrit1;Pkrit2;nsl;kwel;verh;riol;drain;uitsp;afstr;in1;in2;in3;in4;sup;name_in1;name_in2;name_in3;name_in4;rep.maalstaat m3/d;gP/d
1010;Erasmuspark;M11;1010-GAF_F001;8.18177736;9.349064565;0.875143957;306.384952;290.8239606;24.45419281;112020.11;18927;16.89607339;18.42517145;0.8;1;;6.7336999;21.689647;0;1;0.108834204;0;0;8.18177736;0;0;0;0;0;0.058453001;Variabele inlaat;Inlaat2;Inlaat3;Inlaat4;290.8239606;169053.9563
1060;Vondelpark;M11;1060-GAF_F001;4.686866233;11.6660167;0.401753774;963.6693273;1039.381827;10.38864606;733376.11;87518;11.93357662;14.35641238;0.8;1;;6.2256907;21.3636;0;0;0.154092168;5.761888258;0;4.417327939;0.269538293;0.763678434;0;0;0;0.299491606;Variabele inlaat;Inlaat2;Inlaat3;Inlaat4;1039.381827;332082.9352
2010;Diemerpolder;M8;2010-GAF_F006;2.397251802;10.89689913;0.219993943;5057.555401;4926.979834;7.678071263;3331391.05;226489.1;6.798634462;29.92729986;0.35;5;;17.39321;17.384484;0;0;7.312810748;0.355112658;0.994006883;1.403244919;0;0.024967341;0.806756578;0;0;0;De Diem;Inlaat tekort;Inlaat3;Inlaat4;4926.979834;635169.5492
2020;Flevopark;M11;2020-GAF_F002;1.688257725;3.447508861;0.489703665;458.2901445;431.375255;7.175761676;442817.32;39590.08514;8.940500597;16.96381731;0.8;1;;6.4752044;21.548365;0;0;0;0;0;1.398244388;0.290013336;0.047354496;1.65861732;0;0;0.053279321;variabele inlaat;variabele inlaat2;Inlaat3;Inlaat4;431.375255;103763.513
2030;Sarphatipark;M11;2030-GAF_F001;7.320719401;8.58900508;0.852336136;81.31917212;78.80234296;4.205869285;42113.82;5367;12.74403509;17.46497966;0.8;1;;6.6018063;21.623738;0;0.5;0.144292658;0;0;7.320719401;0;0.600653385;0;0;0;0.023339636;Variabele inlaat;Inlaat2;Inlaat3;Inlaat4;78.80234296;8244.75189
2040;Oosterpark;M11;2040-GAF_F001;4.709225923;5.818363502;0.809372931;131.9075938;200.0612513;3.49131532;109471.85;14742;13.46647563;12.99817096;0.8;1;;5.9823278;21.131243;0;0;0.136551742;0;0;4.709225923;0;0;0;0;0;0.972585837;Variabele inlaat;Inlaat2;Inlaat3;Inlaat4;200.0612513;18799.04146
2100;Binnendijkse Buitenvelderse Polder;M10;2100-GAF_F006;3.45013254;13.36354507;0.258174947;12715.22542;11042.68314;11.75680467;5556130.02;362410.6339;6.522716937;37.96000565;0.8;1;;9.9807364;21.892409;0;0.08;7.265113881;0;0;3.45013254;0;0.75325336;1.103720373;0.662038103;0;0.04928681;inlaat - lek;grondwatertoestroom;zoetwaterbron (variabel ca 2000);inlaat4;11042.68314;1556253.924
2110;Middelpolder onder Amstelveen;M10;2110-GAF_F007;3.850722474;6.88234323;0.559507474;14963.38968;13656.32682;5.505760985;10252820.94;904792.239;8.824812647;20.0138317;0.8;1;;6.9977543;21.796505;0.049023001;0.079096432;0.867662567;0.075605214;0;3.616784742;0.233937732;0.96707284;0.493423724;0.349723581;0;0.150013397;part. inlaat + ca 900 m3/d dijkse kwel;waterschapsinlaat opgedrukt;park de Braak;uitEAG-4 of EAG-3;13656.32682;1819518.373
2120;Bovenkerkerpolder;M1a;2120-EAG-3_F003;10.79578012;27.07280611;0.39876842;19812.60817;17185.92836;19.05858018;15573700.2;374345.1635;2.403700847;60.00519931;0.5;1;;18.784995;18.78705;0;0;0;0;0;10.5595351;0.236245025;2.659143681;6.978073728;0.873978237;5.37025468;0.395575659;stuw Waardhuizen;Oosttocht (stuw+overschot);inlaat Amstel (via bovenland);uit Middenweg;17185.92836;2605871.491
2120;Bovenkerkerpolder;M1a;2120-GAF_F007;11.55242281;13.8305671;0.835281932;19926.58061;17185.92836;9.736111485;15573700.2;736282.9019;4.727732603;30.7613047;0.5;1;;18.784995;18.78705;0;0;0;0;0;10.76043172;0.791991092;1.351977037;0;0.444353013;0;0.481814243;stuw Waardhuizen;NA;inlaat Amstel (via bovenland);NA;17185.92836;2618306.465
