parameterid;naam;vraag sken je sloot;parameter;parameterfractie;eenheid;2017;2018;2019;2020;2021;2022;2023;2024
Astacoidea_AANWZHD;Kreeften aangetroffen;0;Astacoidea;"";DIMSLS;0;0;262;413;335;302;331;0
BAGGEREN5JAAR;Hoevaak is de sloot in de afgelopen 5 jaar gebaggerd?;Hoevaak is de sloot in de afgelopen 5 jaar gebaggerd?;BAGGEREN5JAAR;"";"";0;0;0;0;0;0;331;240
BEHMRGLHDG;aantal jaar beheerpakket;Hoeveel jaar voert u al het <b>huidige</b> beheerpakket al uit?;BEHMRGLHDG;"";"";0;0;0;0;0;0;0;240
BEHMRGL_a;duur van beheermaatregel.;Hoeveel jaar voert u al <b>vergelijkbaar</b> beheer (bv SNL) uit voorafgaand aan het beheerpakket?;BEHMRGL;"";a;155;190;163;255;335;302;331;240
BEHPKBBZ_SOORT;Bemestingsvrije bufferzone;Bemestingsvrije bufferzone;BEHPKBBZ;"";DIMSLS;155;261;258;255;335;302;263;157
BEHPKBWW_SOORT;Botanisch waardevolle weiderand;Botanisch waardevolle weiderand;BEHPKBWW;"";DIMSLS;155;261;258;271;335;302;263;157
BEHPKDZSBH_ESKS_SOORT;Ecologisch slootschonen voor krabbenscheervegetaties;Ecologisch slootschonen voor krabbenscheervegetaties;BEHPKDZSBH_ESKS;"";DIMSLS;155;261;258;255;335;302;263;157
BEHPKDZSBH_ES_SOORT;Ecologisch slootschonen;Ecologisch slootschonen;BEHPKDZSBH_ES;"";DIMSLS;155;261;258;255;335;302;263;157
BEHPKINUDTE_SOORT;Inundatie 15 februari t/m 15 mei;Inundatie 15 februari – 15 mei;BEHPKINUDTE;"";DIMSLS;155;261;258;255;335;302;263;157
BEHPKRDZSBH_BB_SOORT;Baggeren met baggerpomp;Baggeren met baggerpomp;BEHPKRDZSBH_BB;"";DIMSLS;155;261;258;255;335;302;263;157
BEHPKRKA_SOORT;Rand klasse A;Rand klasse A;BEHPKRKA;"";DIMSLS;155;261;258;255;335;302;263;157
BEHPKRZM_SOORT;Rietzoom;Rietzoom;BEHPKRZM;"";DIMSLS;155;261;258;255;335;302;263;157
BEHPOverig;beheerpakket overig;Ander beheerpakket;BEHPOverig;"";"";0;258;258;255;335;302;263;157
BEHP_AANWZG;aantal beheerpakketten;;pktaanwez;;;310;548;526;826;670;604;662;480
